id,tu_vung,tu_loai,phien_am,nghia
1,Acknowledge,n/v,/əkˈnɒlɪdʒ/,"thừa nhận, công nhận"
2,Advancement,n,/ədˈvɑːnsmənt/,"sự tiến lên, sự tiến bộ"
3,Advance,v,/ədˈvɑːns/,"sự thăng quan tiến chức"
4,Advocate,v,/ˈædvəkeɪt/,"ủng hộ"
5,Attribute,n,/'ætrɪbju:t/,"thuộc tính, vật tượng trưng"
6,Audacity,n,/ɔːˈdæsəti/,"sự cả gan, sự táo bạo"
7,Bias,n,/'baɪəs/,"sự thiên về, thiên vị"
8,Blatant,a,/'bleɪtənt/,"hay kêu ca"
9,Civilization,n,/ˌsɪvəlaɪˈzeɪʃn/,"nền văn minh"
10,Civilize,v,/ˈsɪvəlaɪz/,"văn minh hóa"
11,Civil,a,/ˈsɪvəl/,"thuộc thường dân"
12,Civic,n,/ˈsɪvɪk/,"thuộc công dân"
13,Contemporary,a,/kən'tempərəri/,"cùng lúc, đương thời"
14,Debatable,a,/dɪ'beɪtəbəl/,"có thể tranh luận, bàn luận"
15,Dedication,n,/ˌdedɪˈkeɪʃn/,"sự cống hiến"
16,Dedicate,v,/ˈdedɪkeɪt/,"cống hiến"
17,Democracy,n,/dɪˈmɒkrəsi/,"nền dân chủ, chế độ dân chủ"
18,Discriminate,v,/dɪ'skrɪmɪneɪt/,"phân biệt"
19,Discrimination,n,/dɪˌskrɪmɪˈneɪʃn/,"sự phân biệt"
20,Discriminatory,a,/dɪˈskrɪmɪnətɔːri/,"có sự phân biệt đối xử"
21,Disparity,n,/dɪ'spætrəti/,"sự chênh lệch"
22,Dog-tired,a,/ˌdɒɡˈtaɪəd/,"mệt lử"
23,Dog-eared,a,/ˈdɒɡɪəd/,"có nếp quăn ở góc"
24,Lion-hearted,a,/ˈlaɪən’hɑːtɪd/,"dũng mãnh, dũng cảm"
25,Rat-arsed,a,/rætɑːst/,"say bí tỉ"
26,Dominant,a,/ˈdɒmɪnənt/,"trội, có tính thống trị"
27,Dominance,n,/ˈdɒmɪnəns/,"địa vị thống trị"
28,Dynamism,n,/ˈdaɪnəmɪzəm/,"thuyết động lực"
29,Dynamic,a,/daɪ'næmɪk/,"có động lực, năng động"
30,Election,n,/i'lekʃən/,"sự bầu cử, cuộc bầu cử"
31,Equal,a,/ˈiːkwəl/,"công bằng"
32,Equality,n,/i'kwɒləti/,"sự công bằng"
33,Equally,adv,/ˈiːkwəli/,"một cách công bằng"
34,Equalize,v,/‘i:kwəlaɪz/,"làm bằng nhau, ngang nhau"
35,Evenness,n,/’i:vnnəs/,"sự ngang bằng, độ phẳng"
36,Fairness,n,/feə(r)nəs/,"sự không bằng, không thiên vị"
37,Feminist,n,/ˈfemɪnɪst/,"người theo chủ nghĩa nam nữ bình quyền"
38,Feminism,n,/ˈfemɪnɪzəm/,"chủ nghĩa nam nữ bình quyền"
39,Feminine,n,/ˈfemɪnɪn/,"thuộc đàn bà, như đàn bà"
40,Inconsistency,n,/ˌɪnkən'sɪstənsi/,"tính không nhất quán"
41,Intellectually,adv,/ˌɪntəl'ektʃuəli/,"một cách có tri thức, có hiểu biết"
42,Involvement,n,/ɪn'vɒlvmənt/,"sự bao hàm, sự dính líu"
43,Liberation,n,/ˌlɪbər'eɪʃən/,"sự giải phóng, sự phóng thích"
44,Liberate,v,/ˈlɪbəreɪt/,"giải phóng, phóng thích"
45,Liberty,n,/ˈlɪbəti/,"sự tự do"
46,Matrimony,n,/ˈmætrɪməni/,"hôn nhân, đời sống vợ chồng"
47,Negate,v,/nɪ'geɪt/,"phủ định, phủ nhận"
48,Nullify,v,/ˈnʌlɪfaɪ/,"hủy bỏ, làm vô hiệu hóa"
49,Overwhelming,a,/ˌəʊvəˈwelmɪŋ/,"áp đảo"
50,Philosophy,n,/fɪˈlɒsəfi/,"triết học"
51,Philosopher,n,/fɪˈlɒsəfər/,"nhà triết học"
52,Philosophical,a,/ˌfɪˈləsɒfɪkəl/,"có triết lý"
53,Philosophically,adv,/fɪˈləsɒfɪkəli/,"một cách có triết lý"
54,Politics,n,/ˈpɒlətɪks/,"chính trị"
55,Political,a,/pə'lɪtɪkəl/,"thuộc chính trị"
56,Politically,adv,/pə'lɪtɪkəli/,"có tính chất chính tri"
57,Politician,n,/ˈpɒlɪ'tɪʃən/,"chính trị gia"
58,Social,a,/ˈsəʊʃl/,"thuộc xã hội"
59,Sociable,a,/ˈsəʊʃəbl/,"hòa đồng"
60,Society,n,/səˈsaɪəti/,"xã hội"
61,Socially,adv,/ˈsəʊʃəli/,"có tính chất xã hội"
62,Socialize,v,/ˈsəʊʃəlaɪz/,"xã hội hóa, hòa nhập"
63,Suffrage,n,/ˈsʌfrɪdʒ/,"quyền bỏ phiếu"
64,Undervalue,v,/ˌʌndəˈvæljuː/,"đánh giá thấp"
65,Overvalue,v,/ˌəʊvəˈvæljuː/,"đánh giá cao"
